age,sex,annual_implied,weight_within_85_99
85,female,3688.956953375,0.0537995305473111
85,male,3073.75070712501,0.0448273989512127
86,female,3763.24165750002,0.0548828942892262
86,male,3103.79634425,0.0452655827502512
87,female,3714.396985625,0.0541705464765988
87,male,2976.98371450001,0.0434161548403436
88,female,3637.25925237501,0.0530455743262633
88,male,2792.71787725001,0.0407288327421859
89,female,3511.11999325001,0.0512059668138195
89,male,2562.710222375,0.0373744146747041
90,female,3344.70925650001,0.0487790424478435
90,male,2330.045050875,0.0339812395415658
91,female,3150.35338075,0.0459445678235474
91,male,2111.534149125,0.0307944894433126
92,female,2946.656299625,0.0429738616112246
92,male,1895.53766237501,0.0276444094250607
93,female,2735.296013375,0.0398913956675133
93,male,1677.282818625,0.0244613936615711
94,female,2489.960459625,0.0363134364272357
94,male,1443.05857475,0.0210454811089062
95,female,2211.016025125,0.0322453272531356
95,male,1207.694328125,0.0176129428233994
96,female,1886.599330375,0.0275140533185638
96,male,964.680384875,0.014068841813671
97,female,1535.068056375,0.0223873419600603
97,male,736.283868375001,0.0107379204931879
98,female,1212.802785125,0.0176874442588714
98,male,533.661554625,0.00778288862484719
99,female,945.9231385,0.0137952872392778
99,male,385.474587875,0.0056217386452883
